,tunnelSteppingTest20::Probabilities::PostRegion,tunnelSteppingTest20::Probabilities::IntraRegion,tunnelSteppingTest20::Probabilities::PreRegion,tunnelSteppingTest20::FrameCount,tunnelSteppingTest20::SpaceStep,tunnelSteppingTest20::TimeStep,tunnelSteppingTest20::PointCount,tunnelSteppingTest20::RegionLength::PostRegion,tunnelSteppingTest20::RegionLength::IntraRegion,tunnelSteppingTest20::RegionLength::PreRegion,tunnelSteppingTest21::Probabilities::PostRegion,tunnelSteppingTest21::Probabilities::IntraRegion,tunnelSteppingTest21::Probabilities::PreRegion,tunnelSteppingTest21::FrameCount,tunnelSteppingTest21::SpaceStep,tunnelSteppingTest21::TimeStep,tunnelSteppingTest21::PointCount,tunnelSteppingTest21::RegionLength::PostRegion,tunnelSteppingTest21::RegionLength::IntraRegion,tunnelSteppingTest21::RegionLength::PreRegion,tunnelSteppingTest22::Probabilities::PostRegion,tunnelSteppingTest22::Probabilities::IntraRegion,tunnelSteppingTest22::Probabilities::PreRegion,tunnelSteppingTest22::FrameCount,tunnelSteppingTest22::SpaceStep,tunnelSteppingTest22::TimeStep,tunnelSteppingTest22::PointCount,tunnelSteppingTest22::RegionLength::PostRegion,tunnelSteppingTest22::RegionLength::IntraRegion,tunnelSteppingTest22::RegionLength::PreRegion
80,0.004124497577024701,0.8939012097633348,0.10197429265964057,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.004131643953047317,0.8728641545547918,0.12300420149216108,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.0033551829730664867,0.6025288061809299,0.39411601084600373,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
81,0.0049289252959601225,0.9000267218084859,0.09504435289555388,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.004915282558745011,0.8733352128296209,0.12174950461163407,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.003974235383262752,0.6029299470276905,0.3930958175890469,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
82,0.005866444639600975,0.9055444019283869,0.08858915343201221,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.005809711986244449,0.8721303707384814,0.12205991727527413,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.004690836627417602,0.6030624115134262,0.3922467518591562,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
83,0.0069543969716959,0.910467163303605,0.08257843972469919,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.006821230405838627,0.8694221440883154,0.12375662550584601,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.005517465149871952,0.6029646422600174,0.39151789259011055,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
84,0.008211539068659419,0.9148052984955067,0.07698316243583372,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.007960450717578648,0.864998307752942,0.12704124152947927,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.006450336148319526,0.6037409427820207,0.38980872106965975,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
85,0.009658011451966892,0.9185664441039175,0.0717755444441158,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.009245882385527584,0.8593076411696966,0.13144647644477586,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.007508797009527408,0.604706997519478,0.3877842054709946,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
86,0.01131527482576383,0.9217555893397781,0.06692913583445807,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.01069552987599199,0.852703485312413,0.136600984811595,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.008715024192553458,0.6053478249475539,0.3859371508598928,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
87,0.01320600763107704,0.9243749252075678,0.06241906716135509,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.012324611334887587,0.8452813086920168,0.14239407997309558,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.010085058330328009,0.6055756862659359,0.3843392554037359,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
88,0.01535396327701842,0.9264238394377289,0.05822219728525259,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.014148160933536838,0.837188779255134,0.14866305981132907,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.011632508212798051,0.6051856739851956,0.3831818178020063,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
89,0.01778378619541015,0.9278990477985635,0.054317166006026506,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.01617963930037097,0.8286231001136422,0.15519726058598696,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4,0.013364635821754806,0.6037615099867876,0.38287385419145775,200,0.1,0.0025000000000000005,100,0.35,0.25,0.4
