,momentum_space00::Probabilities::Post,momentum_space00::Probabilities::3rdStair,momentum_space00::Probabilities::2ndStair,momentum_space00::Probabilities::1stStair,momentum_space00::Probabilities::Pre,momentum_space00::FrameCount,momentum_space00::SpaceStep,momentum_space00::TimeStep,momentum_space00::PointCount,momentum_space00::RegionLength::Post,momentum_space00::RegionLength::3rdStair,momentum_space00::RegionLength::2ndStair,momentum_space00::RegionLength::1stStair,momentum_space00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
510,0.295220631228633,0.1454042104051231,0.12946045679068238,0.14287413339964858,0.2870405681759127,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
511,0.2948836804808168,0.14462993515174952,0.13070418059150146,0.14212599302151763,0.28765621075441455,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
512,0.2945118862760332,0.1437655187543506,0.1319635098586816,0.14131407858112466,0.2884450065298099,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
513,0.2940879165409402,0.14282812561351935,0.13322162068932755,0.14042785925340912,0.2894344779028038,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
514,0.29360687991599943,0.14184626033382206,0.13445578721788393,0.13947711532785476,0.2906139572044397,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
515,0.29306897071324756,0.14085209141078314,0.13562821964273197,0.13849263352392907,0.29195808470930823,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
516,0.2925007240634598,0.1398876883012405,0.13670681062042225,0.13753377901472752,0.29337099800015015,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
517,0.2919361684461242,0.138992708349749,0.13766467720000486,0.136673638356721,0.294732807647401,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
518,0.2913819549885725,0.13818644104222777,0.13846333165322192,0.1359884628291593,0.2959798094868185,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
519,0.2907969236568644,0.13746011918390538,0.13905992183784271,0.13552363344946586,0.2971594018719218,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
520,0.29018985100867717,0.136819609015353,0.13945517283538628,0.1352904063746282,0.29824496076595536,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
521,0.2897388077626417,0.13627738190136746,0.13966623106025802,0.13531020591460957,0.29900737336112315,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
522,0.28950106225470235,0.1358181104581763,0.13970038229758555,0.13559392767126616,0.2993865173182698,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
523,0.28932544835113944,0.13540279421406692,0.1396131026149681,0.13619266844726702,0.29946598637255867,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
524,0.28914042768394477,0.13498535768828432,0.13943607054158585,0.13708188511955768,0.2993562589666273,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
525,0.2889636335941223,0.13457309708815954,0.13919394035119076,0.13811538476426388,0.2991539442022636,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
